Warnings,Number,Latitude,Longitude,Cone_Height_Max,Cone_Volume,Cone_Elev_Max,Cone_Elev_Min,Cone_Elev_Mean,Cone_Elev_Median,Cone_Elev_Std,Cone_Elev_Skew,Cone_Elev_Kurt,Cone_Basal_Perimeter,Cone_Basal_Area,Cone_Width_Max,Cone_Width_Min,Cone_Width_Mean,Cone_Width_Median,Cone_Width_Std,Cone_Width_Skew,Cone_Width_Kurt,Cone_Slope_Max,Cone_Slope_Min,Cone_Slope_Mean,Cone_Slope_Median,Cone_Slope_Std,Cone_Slope_Skew,Cone_Slope_Kurt,Crater_Depth_Max,Crater_Fill_Volume,Crater_Basal_Perimeter,Crater_Basal_Area,Crater_Width_Max,Crater_Width_Min,Crater_Width_Mean,Crater_Width_Median,Crater_Width_Std,Crater_Width_Skew,Crater_Width_Kurt,Crater_Slope_Max,Crater_Slope_Min,Crater_Slope_Mean,Crater_Slope_Median,Crater_Slope_Std,Crater_Slope_Skew,Crater_Slope_Kurt,Cone_Elongation,Cone_Circularity,Cone_Eccentricity,Cone_Ellipse_MajorAxis,Cone_Ellipse_MinorAxis,Cone_Ellipse_Orientation,Crater_Elongation,Crater_Circularity,Crater_Eccentricity,Crater_Ellipse_MajorAxis,Crater_Ellipse_MinorAxis,Crater_Ellipse_Orientation,ConeHeight/ConeAvgWidth,ConeHeight/ConeMaxWidth,CraterDepth/CraterAvgWidth,ConeHeight/CraterAvgWidth,CraterAvgWidth/ConeAvgWidth,CraterDepth/ConeHeight
,11,35.549477831196725,-111.68520522572948,1002187.3942514632,986009396028.2695,2137.792724609375,1936.8175048828125,2033.1610063588123,2024.0478515625,52.64098962249551,0.30242795893808094,-1.087122788136766,3703.860729511272,983992.0584086934,1245.633067589861,974.6294141261443,1114.854286526342,1143.5419397418673,84.39796358531862,-0.20497714795864377,-1.3020601452007012,89.99991607666016,0.025217631831765175,18.545606589528443,19.388853073120117,8.48061443110573,1.709966086939921,14.690408037544614,10.507739257812318,185234.0625,918.2792721427113,65471.53845542599,323.80189275592727,256.59458583618084,287.7424289464026,285.5832626010117,22.843736143845582,0.1465462381280281,-1.4110799094087159,20.261499404907227,0.025217631831765175,9.437817124006504,10.116906642913818,3.82142153942599,-0.5016595785533481,-0.5282855716513359,0.8256981623378064,0.90134729749707,0.6227297358565218,1341.6781692089469,1107.8211987645798,63.37118177888931,0.8123957356042492,0.9756922323627158,0.6099458037879293,332.36934475070166,270.0154383210486,40.041357076180105,898.9402528774178,804.5606851065429,0.036517865287672195,3482.9322805158477,0.25809868825364535,1.0484804855942715e-05
,13,35.523587417837845,-111.6047596965342,1002238.6088872377,1309413106527.484,2255.18359375,2003.9302978515625,2107.0206679372877,2101.3623046875,60.06482493227472,0.3380192148370511,-0.8699431233357751,4246.704546469305,1306665.079509481,1371.9698553423705,1116.9023631892505,1285.7773897235447,1322.1618234848293,78.38767916582562,-0.812607706358705,-0.7872391491850221,89.99991607666016,0.07693520188331604,22.505430967534146,23.7697811126709,7.41054070523888,1.6190553893006308,19.17361314562148,74.75229492187509,2266621.75,1127.0504078413248,96873.25110833428,394.58071403565646,308.83006866107723,349.7630412057695,354.64694224853673,29.348706156319373,-0.03767201508043517,-1.3923214849094063,64.67415618896484,0.07693520188331604,26.101901793914884,27.420753479003906,6.213793458997964,-1.1141043970112434,2.926045285471851,0.9572835488116545,0.910479254131896,0.5807434053440091,1412.6649038415667,1352.3208724311296,30.76501763196424,0.8762820764155167,0.9583564235197115,0.6224254686487477,397.05805812340895,347.9348596298937,176.12417974944356,779.4806604141089,730.5106631786254,0.21372268111626316,2865.4788837383467,0.2720245697281799,7.458532754477581e-05
,7,35.55856639745234,-111.6055989298458,1002209.3879354513,1654599208405.6504,2164.55126953125,1917.713623046875,2026.816887081167,2021.868408203125,57.72019529892112,0.23405355231480846,-0.9111198700314813,4697.235587042392,1651263.2180147287,1548.8210779778558,1326.9615409844766,1447.7258673236106,1451.3494561940497,68.98905406081508,-0.2089668725524269,-1.143857434593642,89.99991607666016,0.006994113326072693,18.727802840391494,19.77161979675293,6.609082759134453,2.6399819709174217,33.91454811821047,48.45194091796884,4095483.25,1586.1032666211263,177481.31933368932,596.019134197664,380.95764432938773,468.1877189977893,440.6638535831073,78.81736814676002,0.39772913697809803,-1.4448216773782119,43.81342315673828,0.006994113326072693,12.911485910129318,12.45395278930664,6.569250752853357,-0.012868440044750188,-1.284829849057936,0.9109283950355783,0.9404625062824691,0.5157222017196504,1594.749265425293,1452.7023888380297,83.28887815946622,0.610921955501937,0.8865425678533891,0.7690653475443934,653.2099346196887,399.06029061115265,58.178199876478246,692.2646134576714,647.0788667493719,0.10348827820961622,2140.6144314951234,0.3233952846772856,4.8345127775922864e-05
,12,35.52247747972216,-111.71501407101195,1002279.8395471938,1250845854818.561,2265.58154296875,2020.6666259765625,2136.4609102757386,2130.404296875,54.8283975847948,0.25953406553224184,-0.8561803413977827,4126.4576527691,1248200.533575645,1364.386457050978,1097.7780689890265,1256.9470470230942,1263.4273618604223,70.04553611219723,-0.6249728707603518,-0.41222416591473854,89.99991607666016,0.00989117007702589,20.12176686358213,21.912681579589844,7.64754715118704,1.6074748372400771,19.03463650509975,48.46588134765625,2300908.25,1233.9614064150196,114033.70519967395,412.11558740102134,335.28611303487685,379.4373146387223,393.21633271220287,27.13365934069569,-0.5133589713367278,-1.3686409092981509,31.952899932861328,0.00989117007702589,17.845947571552394,19.745981216430664,6.47578606296476,-0.9058300243809059,0.00030255568019788015,0.9255884461670921,0.9211692725323919,0.593824401293934,1414.8048962357539,1309.5270655364454,103.84864793866458,0.8697249264341552,0.9411090419809228,0.5814627938185096,443.82617317992725,386.00668581846486,28.50796874578529,797.3922544477554,734.6011347206926,0.1277309307172453,2641.4899138254373,0.3018721556626966,4.8355638251241274e-05
,2,35.58235865365086,-111.63225376975751,1002165.1497784262,1092396643850.4453,2140.986572265625,1849.0941162109375,1996.2658862054573,1997.201904296875,75.9756983328465,0.02407365032397019,-1.146232488342846,3733.1111193000347,1090234.1774284674,1254.6023793718605,1108.1590263140158,1177.0216791199282,1174.6731357163042,45.36365809586214,0.12181795230979744,-1.2982859335774033,89.99991607666016,0.034970562905073166,28.903424790416558,29.975631713867188,7.441785899998574,1.428985723279089,17.459276515511764,95.699951171875,2739033.25,1178.803567254976,109572.01939564668,399.19734024296224,349.24666065817627,373.073475118926,372.3274345822605,17.49519184422912,0.08155812943100747,-1.5041770730296713,81.79104614257812,0.034970562905073166,31.922507329325626,32.27342987060547,11.726852499730576,0.6633562217910468,2.16701710194491,0.9250899943517625,0.983077648424794,0.4688551161578825,1270.517112646573,1175.342668562036,93.97383276262731,0.8797684135484292,0.9908927409270138,0.48435380678652706,404.9549507343444,356.26657456613646,26.679115724670226,851.4415388914126,798.7910482683592,0.2565177037616206,2686.240691485671,0.31696397928530684,9.54931941038199e-05
,15,35.499472565281714,-111.67681904875737,1002391.6409376754,1572265621820.1045,2346.004150390625,2122.17529296875,2214.1956710261315,2202.3636474609375,58.21495308730657,0.43289538182574255,-1.0776793328773377,4566.510927534642,1568790.4709387105,1473.1013040117841,1361.4605417058128,1412.9120993961883,1412.9744180132116,27.70192505374389,-0.006438595507282297,-1.0334010473720123,89.99991607666016,0.013988226652145386,18.13210334194986,19.30132293701172,7.518349813723748,1.9132302060189394,19.894906464095317,12.451318359374909,437904.375,1231.0552904195729,118392.45627561753,423.09516958031884,349.6075690666652,387.3670059399663,386.9732465978011,25.32221266561732,-0.028224644038966715,-1.4825669193949467,27.471355438232422,0.013988226652145386,10.096153585679355,10.643478393554688,4.9497411631096195,-0.22909087577781215,-0.8585476324675536,0.9485392686913193,0.9453786806343613,0.3818754604227448,1521.5159860620302,1443.2176607214296,69.32654865056918,0.8371350976733825,0.9816999689061672,0.563216270267261,435.9755799547582,364.97045970863604,37.819506849960874,709.4508153522431,680.4634808263374,0.032143466450275326,2587.7052654634836,0.274162140805156,1.242161032760356e-05
,48,35.39816923100022,-111.39606342832325,1001964.2702181496,1007195169809.7417,1931.08203125,1757.183837890625,1840.8369594941066,1837.822021484375,44.83904982544219,0.03954663659813375,-1.1666225173033304,3613.765093690875,1005351.2952195655,1247.262156044066,1020.5788871645466,1128.7766403289208,1124.5313062643636,72.21596356722166,0.1693172805008441,-1.3477900772864635,89.99991607666016,0.027312884107232094,19.664876824487113,20.760080337524414,7.653120193902823,1.992153878877258,21.43229676448915,56.740100097656295,2261403.5,1315.5380687721472,134081.15614814067,451.3141898167997,376.7549892015641,412.01729857574503,409.45506023593714,27.259868473352167,0.11904025413623175,-1.568459252706867,37.92946243286133,0.10975397378206253,18.62647321355269,19.94443130493164,5.235259138263066,-0.9928176854195631,0.8024728635404976,0.8757817405004413,0.9674039772998058,0.574854973946372,1261.1364125087393,1104.4802423553863,30.537886938477527,0.8330973988795987,0.9735780410794981,0.5505603651297372,475.7233055883786,396.32384847208266,14.788302473311944,887.6550368070882,803.3309319638735,0.13771290742838854,2431.85000649663,0.3650122476451009,5.662886570326777e-05
,35,35.360009369318924,-111.529204856389,1002279.4512468489,824335666411.3558,2211.4150390625,2106.367919921875,2164.408689153161,2168.579345703125,25.802353021823663,-0.27469280321089257,-0.9925067693378984,3247.5509647623912,822513.9203020791,1089.6965644525394,973.0952349149545,1022.1212723002993,1016.4701953966878,38.41572031912495,0.25758830485206763,-1.3457545661663002,89.99991607666016,0.006994113326072693,14.983619573737652,15.90807819366455,6.858225215711209,4.2216697033948645,47.83226287994481,33.56175537109357,2983475.0,1561.773782564614,188908.3573583791,545.3504307001187,447.6015269053095,489.3258259616489,479.4663724375214,31.228363783351774,0.4003170025289171,-1.145376350319475,22.39665412902832,0.006994113326072693,9.169677928319365,9.423791885375977,3.828994717281453,-0.2003529551915654,-0.7005358603578586,0.8984628239822334,0.980034061694243,0.4500635771289179,1131.2836301277127,1016.4162850494173,41.1071592825939,0.7998936647371501,0.9732508227767518,0.5712739300214831,569.165327184061,455.27173940257757,36.02609474202575,980.5876058045479,919.7784814072452,0.06858774581361252,2048.2864342529165,0.4787355857103079,3.3485426972829084e-05
,38,35.44243841212327,-111.4690404270796,1002022.9111470217,440379429851.78674,1990.1368408203125,1808.17919921875,1885.8003468079355,1882.932861328125,42.17317617362001,0.23585609053941758,-0.829502413757885,2641.9294028707786,439541.6283598106,902.4241664772519,474.6184202682143,730.827330929097,762.9164262615298,138.07319943060907,-0.41916239501774527,-1.2672460488371524,89.99991607666016,0.014418733306229115,28.75775322345663,29.503700256347656,10.407245402152245,1.1771209610249278,7.205260345136317,89.32077636718759,2564918.25,1296.1954137574207,83483.85769358776,399.265720081194,188.27396984509704,302.10258037345466,343.02777758201074,77.46720071614429,-0.3376447217818289,-1.5725038560104199,81.85986328125,0.6107615828514099,32.047565654982975,30.459718704223633,10.399062425458485,1.145241434743961,2.29310133394588,0.779919109535349,0.7913479108964848,0.8505234175929782,965.7674027884811,753.220452801059,96.91043854418263,0.9657294678828218,0.6244122464107257,0.8818390323213223,416.9271822145522,402.63886582594375,96.96312858624508,1371.0802384376555,1110.3679936437966,0.2956637320236411,3316.830031403029,0.4133706658033618,8.914045315085815e-05
,67,35.43587728306256,-112.06137032694674,1002216.4158858506,336408989636.4026,2183.394287109375,2101.18115234375,2143.0194884054627,2140.162353515625,20.0455828637624,0.22502656481644112,-1.0961149431646653,2404.988558369408,335705.8018913942,795.4938202177781,381.0074990701859,635.7400402689254,690.168735619422,131.6851604495407,-0.5675938693778417,-1.1496978294338154,89.99991607666016,0.01563931256532669,14.662816885771283,13.927411079406738,7.5405474707746425,6.4567102970950065,61.76542742168574,18.046630859375,112342.21875,792.7721237056807,29378.312849276877,220.55921903354874,114.03896921148856,150.53788380227803,137.60750561209844,36.358372880707314,0.7564670587367939,-1.0143446303448451,23.167362213134766,0.07819651812314987,12.202367965382194,12.405818939208984,3.6393271678526626,-0.6084671996903073,0.3861100954580743,0.7450441405123501,0.7293612430282386,0.8778382498821252,859.1869914476306,640.1322335824918,52.59320246490705,0.8018534600774375,0.5874081584409299,0.8559584139749391,260.1272561430896,208.58394039878627,53.680254175392335,1576.4563381313867,1259.8670038838004,0.11988099210347679,6657.569447450173,0.23679157244618218,1.8006720478055366e-05
